dt,open,high,low,close,volume
2017-03-21 00:00:00+09:00,26000.0,27400.0,25900.0,27300.0,268108.0
2017-03-22 00:00:00+09:00,27300.0,27850.0,27100.0,27750.0,222576.0
2017-03-23 00:00:00+09:00,27750.0,28350.0,27500.0,28350.0,131577.0
2017-03-24 00:00:00+09:00,28300.0,28300.0,27400.0,27500.0,111978.0
2017-03-27 00:00:00+09:00,27450.0,28150.0,27450.0,27800.0,48037.0
2017-03-28 00:00:00+09:00,27450.0,28200.0,27450.0,28200.0,75712.0
2017-03-29 00:00:00+09:00,28000.0,28600.0,27700.0,28550.0,107533.0
2017-03-30 00:00:00+09:00,28650.0,29000.0,28450.0,28900.0,116630.0
2017-03-31 00:00:00+09:00,29100.0,29800.0,28850.0,29700.0,162343.0
2017-04-03 00:00:00+09:00,29650.0,30300.0,29450.0,30300.0,122136.0
2017-04-04 00:00:00+09:00,30100.0,30250.0,29950.0,30000.0,79519.0
2017-04-05 00:00:00+09:00,29950.0,31300.0,29800.0,31300.0,180116.0
2017-04-06 00:00:00+09:00,31300.0,31650.0,30000.0,31500.0,159889.0
2017-04-07 00:00:00+09:00,31500.0,31500.0,30700.0,30800.0,439786.0
2017-04-10 00:00:00+09:00,30450.0,30900.0,29500.0,30250.0,155833.0
2017-04-11 00:00:00+09:00,30000.0,30450.0,29850.0,30100.0,141655.0
2017-04-12 00:00:00+09:00,30100.0,30150.0,29550.0,29950.0,130759.0
2017-04-13 00:00:00+09:00,29700.0,29900.0,29050.0,29050.0,137689.0
2017-04-14 00:00:00+09:00,29000.0,29750.0,28950.0,29500.0,76771.0
2017-04-17 00:00:00+09:00,29500.0,29800.0,29250.0,29400.0,47990.0
2017-04-18 00:00:00+09:00,29750.0,30150.0,29450.0,29900.0,99228.0
2017-04-19 00:00:00+09:00,30100.0,30400.0,29800.0,30050.0,116972.0
2017-04-20 00:00:00+09:00,30050.0,30300.0,29850.0,30100.0,78854.0
2017-04-21 00:00:00+09:00,30400.0,30400.0,29850.0,30050.0,78900.0
2017-04-24 00:00:00+09:00,30050.0,30100.0,29500.0,29550.0,77753.0
2017-04-25 00:00:00+09:00,29850.0,30150.0,29600.0,30150.0,78595.0
2017-04-26 00:00:00+09:00,30200.0,30900.0,30200.0,30600.0,138885.0
2017-04-27 00:00:00+09:00,30800.0,30900.0,30250.0,30800.0,83601.0
2017-04-28 00:00:00+09:00,30800.0,30900.0,30300.0,30850.0,67288.0
2017-05-02 00:00:00+09:00,30850.0,31000.0,30600.0,30700.0,41199.0
2017-05-04 00:00:00+09:00,30700.0,31600.0,30700.0,31600.0,121099.0
2017-05-08 00:00:00+09:00,31600.0,31750.0,31350.0,31500.0,78751.0
2017-05-10 00:00:00+09:00,31700.0,31700.0,31000.0,31600.0,110880.0
2017-05-11 00:00:00+09:00,31600.0,31600.0,31200.0,31500.0,55543.0
2017-05-12 00:00:00+09:00,31500.0,31550.0,31100.0,31550.0,65988.0
2017-05-15 00:00:00+09:00,31550.0,31550.0,30900.0,30900.0,56881.0
2017-05-16 00:00:00+09:00,30650.0,31250.0,30500.0,30850.0,119271.0
2017-05-17 00:00:00+09:00,30700.0,31850.0,30700.0,31200.0,184691.0
2017-05-18 00:00:00+09:00,30800.0,31850.0,30800.0,31800.0,330131.0
2017-05-19 00:00:00+09:00,31800.0,31950.0,31650.0,31800.0,91756.0
2017-05-22 00:00:00+09:00,31600.0,31950.0,31550.0,31900.0,105970.0
2017-05-23 00:00:00+09:00,31650.0,32150.0,31650.0,31850.0,122620.0
2017-05-24 00:00:00+09:00,31750.0,33450.0,31750.0,33450.0,292051.0
2017-05-25 00:00:00+09:00,33200.0,33650.0,32700.0,32800.0,176857.0
2017-05-26 00:00:00+09:00,32550.0,32650.0,31750.0,32050.0,172325.0
2017-05-29 00:00:00+09:00,32000.0,32150.0,31100.0,31150.0,160442.0
2017-05-30 00:00:00+09:00,31000.0,31850.0,31000.0,31400.0,96181.0
2017-05-31 00:00:00+09:00,31300.0,32400.0,31300.0,32400.0,168265.0
2017-06-01 00:00:00+09:00,31900.0,32250.0,31600.0,31750.0,113624.0
2017-06-02 00:00:00+09:00,31500.0,32050.0,31500.0,31800.0,147937.0
2017-06-05 00:00:00+09:00,31500.0,32300.0,31500.0,32100.0,149730.0
2017-06-07 00:00:00+09:00,31700.0,31900.0,31150.0,31200.0,239280.0
2017-06-08 00:00:00+09:00,31150.0,31700.0,30200.0,30550.0,1283780.0
2017-06-09 00:00:00+09:00,30550.0,30900.0,30450.0,30700.0,281118.0
2017-06-12 00:00:00+09:00,30500.0,30750.0,30050.0,30050.0,268168.0
2017-06-13 00:00:00+09:00,30000.0,31150.0,30000.0,30700.0,193302.0
2017-06-14 00:00:00+09:00,30500.0,30900.0,30350.0,30600.0,82395.0
2017-06-15 00:00:00+09:00,30500.0,30900.0,30050.0,30050.0,91790.0
2017-06-16 00:00:00+09:00,30150.0,30700.0,30150.0,30500.0,83159.0
2017-06-19 00:00:00+09:00,30300.0,30600.0,30100.0,30550.0,82789.0
2017-06-20 00:00:00+09:00,30350.0,30800.0,30050.0,30500.0,123043.0
2017-06-21 00:00:00+09:00,30450.0,30750.0,30250.0,30500.0,83077.0
2017-06-22 00:00:00+09:00,30400.0,31450.0,30250.0,31300.0,154088.0
2017-06-23 00:00:00+09:00,31500.0,31500.0,30250.0,30250.0,108460.0
2017-06-26 00:00:00+09:00,30350.0,30600.0,29850.0,29950.0,116211.0
2017-06-27 00:00:00+09:00,30000.0,30700.0,29950.0,30500.0,75389.0
2017-06-28 00:00:00+09:00,30500.0,30700.0,30100.0,30700.0,62243.0
2017-06-29 00:00:00+09:00,30700.0,30900.0,30350.0,30400.0,53484.0
2017-06-30 00:00:00+09:00,29950.0,30750.0,29950.0,30600.0,76332.0
2017-07-03 00:00:00+09:00,30650.0,30700.0,30250.0,30700.0,44886.0
2017-07-04 00:00:00+09:00,30700.0,30750.0,30350.0,30400.0,46437.0
2017-07-05 00:00:00+09:00,30250.0,30650.0,30250.0,30250.0,43284.0
2017-07-06 00:00:00+09:00,30200.0,30300.0,30050.0,30050.0,46426.0
2017-07-07 00:00:00+09:00,30050.0,30650.0,30000.0,30250.0,58889.0
2017-07-10 00:00:00+09:00,30100.0,30250.0,29000.0,29050.0,161095.0
2017-07-11 00:00:00+09:00,29100.0,29450.0,28150.0,28250.0,168519.0
2017-07-12 00:00:00+09:00,28250.0,28650.0,28000.0,28000.0,118219.0
2017-07-13 00:00:00+09:00,28300.0,29100.0,28150.0,28800.0,122166.0
2017-07-14 00:00:00+09:00,28800.0,29100.0,28500.0,28900.0,65620.0
2017-07-17 00:00:00+09:00,29250.0,29250.0,28500.0,29000.0,109510.0
2017-07-18 00:00:00+09:00,29000.0,29150.0,28700.0,28900.0,53699.0
2017-07-19 00:00:00+09:00,29100.0,29650.0,28900.0,29400.0,101649.0
2017-07-20 00:00:00+09:00,29450.0,29500.0,29150.0,29400.0,68300.0
2017-07-21 00:00:00+09:00,29350.0,29450.0,28950.0,29100.0,68810.0
2017-07-24 00:00:00+09:00,29350.0,29800.0,29100.0,29400.0,63596.0
2017-07-25 00:00:00+09:00,29750.0,29900.0,29150.0,29350.0,90996.0
2017-07-26 00:00:00+09:00,29750.0,29850.0,29400.0,29600.0,61335.0
2017-07-27 00:00:00+09:00,29500.0,29950.0,29300.0,29550.0,61275.0
2017-07-28 00:00:00+09:00,29450.0,29800.0,29400.0,29450.0,76341.0
2017-07-31 00:00:00+09:00,29700.0,29750.0,29300.0,29550.0,62380.0
2017-08-01 00:00:00+09:00,29500.0,29700.0,29350.0,29650.0,188876.0
2017-08-02 00:00:00+09:00,29500.0,29650.0,29400.0,29400.0,90629.0
2017-08-03 00:00:00+09:00,29350.0,29600.0,29200.0,29200.0,58093.0
2017-08-04 00:00:00+09:00,29100.0,29500.0,28900.0,28900.0,49366.0
2017-08-07 00:00:00+09:00,29250.0,29250.0,28700.0,28700.0,36276.0
2017-08-08 00:00:00+09:00,28500.0,28850.0,28200.0,28350.0,87257.0
2017-08-09 00:00:00+09:00,28250.0,28650.0,28150.0,28350.0,75271.0
2017-08-10 00:00:00+09:00,28150.0,28650.0,28150.0,28250.0,96399.0
2017-08-11 00:00:00+09:00,28250.0,28450.0,27850.0,28000.0,88841.0
2017-08-14 00:00:00+09:00,28000.0,28300.0,27600.0,27850.0,92515.0
2017-08-16 00:00:00+09:00,27850.0,28000.0,27350.0,27500.0,96454.0
2017-08-17 00:00:00+09:00,27350.0,27600.0,27250.0,27500.0,63467.0
2017-08-18 00:00:00+09:00,27250.0,27650.0,27250.0,27350.0,63161.0
2017-08-21 00:00:00+09:00,27400.0,27400.0,26850.0,26950.0,78129.0
2017-08-22 00:00:00+09:00,26750.0,27250.0,26750.0,27000.0,67543.0
2017-08-23 00:00:00+09:00,26850.0,27350.0,26850.0,27350.0,42822.0
2017-08-24 00:00:00+09:00,27350.0,27650.0,27250.0,27550.0,54642.0
2017-08-25 00:00:00+09:00,27500.0,27500.0,27000.0,27250.0,71077.0
2017-08-28 00:00:00+09:00,27050.0,27250.0,26950.0,27100.0,90849.0
2017-08-29 00:00:00+09:00,27150.0,27150.0,26250.0,26650.0,170631.0
2017-08-30 00:00:00+09:00,26800.0,27200.0,26600.0,27200.0,83211.0
2017-08-31 00:00:00+09:00,27000.0,27050.0,26500.0,26500.0,138334.0
2017-09-01 00:00:00+09:00,26500.0,26550.0,26100.0,26250.0,123249.0
2017-09-04 00:00:00+09:00,26000.0,26550.0,25900.0,26350.0,76664.0
2017-09-05 00:00:00+09:00,26400.0,26500.0,26050.0,26100.0,59148.0
2017-09-06 00:00:00+09:00,26000.0,26600.0,26000.0,26450.0,62229.0
2017-09-07 00:00:00+09:00,26550.0,26700.0,26100.0,26550.0,59647.0
2017-09-08 00:00:00+09:00,26500.0,26600.0,26200.0,26350.0,58016.0
2017-09-11 00:00:00+09:00,26250.0,27000.0,26250.0,26700.0,52345.0
2017-09-12 00:00:00+09:00,26500.0,26600.0,26250.0,26300.0,64427.0
2017-09-13 00:00:00+09:00,26300.0,26500.0,26200.0,26250.0,45206.0
2017-09-14 00:00:00+09:00,26150.0,26850.0,26050.0,26850.0,102040.0
2017-09-15 00:00:00+09:00,26850.0,26850.0,26250.0,26250.0,68481.0
2017-09-18 00:00:00+09:00,26250.0,26350.0,26100.0,26200.0,54893.0
2017-09-19 00:00:00+09:00,26050.0,26400.0,25950.0,26400.0,42207.0
2017-09-20 00:00:00+09:00,26400.0,26500.0,26050.0,26150.0,53115.0
2017-09-21 00:00:00+09:00,26000.0,26150.0,25800.0,25800.0,62076.0
2017-09-22 00:00:00+09:00,25800.0,26050.0,25600.0,26000.0,48451.0
2017-09-25 00:00:00+09:00,26000.0,26000.0,25250.0,25300.0,54723.0
2017-09-26 00:00:00+09:00,24950.0,26500.0,24950.0,26200.0,72084.0
2017-09-27 00:00:00+09:00,26200.0,26700.0,25950.0,26200.0,44120.0
2017-09-28 00:00:00+09:00,26000.0,26500.0,25800.0,26450.0,58283.0
2017-09-29 00:00:00+09:00,26750.0,26800.0,26250.0,26800.0,45127.0
2017-10-10 00:00:00+09:00,26600.0,27200.0,26550.0,27000.0,94269.0
2017-10-11 00:00:00+09:00,26950.0,27300.0,26600.0,26900.0,84674.0
2017-10-12 00:00:00+09:00,26550.0,27250.0,26550.0,27150.0,74869.0
2017-10-13 00:00:00+09:00,27150.0,27300.0,26900.0,27000.0,64502.0
2017-10-16 00:00:00+09:00,27000.0,27250.0,26850.0,27200.0,59237.0
2017-10-17 00:00:00+09:00,27250.0,27250.0,26700.0,27100.0,61338.0
2017-10-18 00:00:00+09:00,26900.0,27250.0,26800.0,27150.0,36795.0
2017-10-19 00:00:00+09:00,27000.0,27350.0,26900.0,27350.0,46121.0
2017-10-20 00:00:00+09:00,27350.0,27400.0,27100.0,27400.0,48300.0
2017-10-23 00:00:00+09:00,27400.0,27400.0,27000.0,27000.0,53952.0
2017-10-24 00:00:00+09:00,26800.0,27850.0,26350.0,27850.0,86034.0
2017-10-25 00:00:00+09:00,27800.0,28200.0,27600.0,28100.0,75201.0
2017-10-26 00:00:00+09:00,28000.0,28250.0,28000.0,28000.0,37339.0
